

TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)


95.42,94.64,83.90,61.31,100.00


90.79,96.15,80.36,64.81,94.46


91.00,93.37,77.60,49.99,92.51


86.22,82.08,88.44,54.21,85.78


77.32,87.11,83.21,56.62,89.31


77.21,76.57,89.65,61.71,60.55


83.04,70.73,83.03,59.13,62.45


82.51,52.47,71.54,55.98,60.42


72.11,50.04,74.71,61.49,63.68


79.89,53.31,72.09,57.76,27.15

72.34,47.77,77.77,56.07,53.49


64.02,63.12,72.11,55.07,39.78

68.93,46.03,78.67,55.24,55.59


64.62,54.07,61.50,51.62,68.24


56.79,64.06,63.07,58.21,46.29


64.38,57.82,74.30,47.23,30.48


53.73,62.04,76.45,40.45,51.61


68.13,54.04,74.66,45.17,25.98


73.38,38.12,74.21,57.81,36.91


65.77,56.76,59.00,60.07,28.01


69.57,47.62,63.17,47.92,45.56


77.05,37.17,64.77,56.27,39.56


71.05,31.30,78.29,63.87,38.04


83.76,34.55,55.15,57.90,38.26


79.11,30.54,70.31,59.24,30.75

78.20,39.24,62.28,51.86,28.57


67.70,45.19,69.73,53.77,15.56


63.16,48.11,71.43,58.00,11.13


65.95,47.65,65.69,54.82,17.42


61.95,34.87,77.36,56.26,42.47


70.38,36.80,67.11,64.70,21.26


71.22,50.11,51.01,56.94,8.05


78.65,24.02,62.88,62.97,33.32


74.73,29.41,68.18,64.26,10.70


71.41,41.69,59.89,54.40,8.95


63.36,31.12,73.21,53.07,36.91


73.13,33.81,64.89,56.60,10.70


70.07,34.81,58.75,51.57,30.48


70.58,45.83,56.57,40.89,10.70


63.85,41.64,61.65,54.75,17.42


61.27,41.96,63.57,61.06,11.55

66.08,25.80,65.80,75.70,17.79


53.01,36.66,73.92,52.91,24.77


66.01,31.10,63.81,53.47,20.25


70.32,24.86,54.60,62.23,33.57


61.63,35.41,62.30,51.68,19.21


54.76,36.98,64.42,50.22,29.68


59.71,30.56,69.00,50.72,22.89


69.35,19.73,52.14,48.69,51.77


61.94,21.89,67.56,51.85,29.40


59.06,31.77,64.14,64.20,2.69


66.18,25.99,59.76,58.66,9.84


67.71,26.19,56.17,59.29,8.05


57.49,31.20,62.46,55.13,9.84


66.34,30.98,53.14,49.19,6.18


55.18,29.80,67.58,41.15,18.86


71.72,29.24,40.88,53.90,11.13


70.69,28.57,44.25,54.50,6.18


65.53,13.98,62.74,55.31,18.15


68.66,18.42,54.26,62.06,5.21


66.27,20.64,54.64,59.35,7.59


59.63,17.63,63.93,57.99,17.79


64.43,32.96,44.38,47.56,2.69


59.67,18.32,59.11,51.54,27.44


52.55,28.36,64.27,47.33,3.20


64.22,6.80,58.52,52.43,36.68


58.88,24.26,56.99,50.70,1.63


55.66,14.20,64.10,56.64,19.90


65.32,10.04,63.72,54.35,5.69

63.06,13.29,59.79,48.30,13.20


57.29,11.04,68.16,52.93,11.55


